company_legalname,company_name,companypublickey,company_addressline1,company_city,company_state,company_zipcode,company_phone,company_webpage,agent_count,company_moxi_hub,company_moxi_dms,company_moxi_engage,company_moxi_present,company_moxi_websites,company_moxi_talent,company_moxi_insights,show_in_product_marketing,advertise_your_listing,ayl_emails,advertise_your_services,ays_emails,direct_marketing
"David Lyng & Associates, Inc.",David Lyng Real Estate,3231526,1041 41st Avenue ,Santa Cruz,CA,95062,831-142-9570,http://www.davidlyng.com,214,True,False,True,True,True,False,True,True,True,False,True,False,False
Randall Family of Companies,Randall Family of Companies,2944330,4009 Old Post Road ,Charlestown,RI,02813,401-136-4338,http://www.randallrealtors.com/,1323,True,False,True,True,True,False,True,True,True,True,True,False,True
Ebby Halliday,Ebby Halliday,3270976,4455 Sigma Rd ,Dallas,TX,75244,,www.ebby.com,14,False,False,True,True,False,False,True,True,True,False,True,False,False
William Raveis Real Estate,William Raveis Real Estate Mortgage & In,3077671,7 Trap Falls Rd ,Shelton,CT,06484,888-869-9887,http://raveis.com,4133,False,False,True,True,False,True,False,True,True,False,True,False,False
"Miranda Real Estate Group, Inc","Miranda Real Estate Group, Inc",3237838, ,,,,518-834-8206,,87,True,False,True,True,True,False,False,True,True,False,True,False,False
RE/MAX Metro,RE/MAX Metro,3206278, ,,,,727-789-6180,https://www.metroagents.com/,218,True,False,True,True,True,True,False,True,True,True,True,False,False
JB Goodwin Realtors,JB Goodwin Realtors,3203122,3933 Steck Avenue Suite B-101,Austin,TX,78759,512-250-2780,https://www.jbgoodwin.com/,751,True,False,True,True,True,True,False,True,True,True,True,False,False
"HomeServices of Illinois, LLC",BHHS KoenigRubloff Realty Group,3233104,980 N Michigan Avenue Ste 700,Chicago,IL,60611,312-294-4890,http://www.koenigrubloff.com,1425,True,False,True,True,True,True,False,True,True,False,True,False,False
"Long & Foster Real Estate, Inc.","Long & Foster Real Estate, Inc.",1259026, ,Chantilly,VA,20151,,,9956,True,False,True,True,False,True,False,True,True,True,True,False,False
Michael Saunders & Company,Michael Saunders & Company,3212590, ,,,,,,841,True,False,True,True,False,False,True,True,True,False,True,False,False
Coldwell Banker Residential Brokerage NR,Coldwell Banker Residential Brokerage NR,3145525, ,,,,,,49512,False,False,False,True,False,False,False,True,False,False,False,False,False
Howard Hanna,Howard Hanna,1585672, ,Pittsburgh,PA,,,,9529,True,False,True,True,False,True,True,True,True,False,True,False,False
Better Homes and Garden Reliance Partner,Better Homes and Gardens Reliance Partne,3203911,925 Highland Pointe Dr. ,Roseville,CA,95678,917-775-7697,,612,True,False,True,True,True,False,False,True,True,True,True,False,False
Compass,Compass,1412092, ,San Francisco,CA,94129,,,811,False,False,True,True,False,False,False,True,True,False,False,False,False
Intero Real Estate,Intero Real Estate,3220480,10275 N. De Anza Blvd. ,Cupertino,CA,95014,408-834-2300,http://www.interorealestate.com,2179,True,False,True,True,True,True,False,True,False,False,False,False,False
Jim Maloof Realtor,Jim Maloof Realtor,3202333,803 W. Pioneer Parkway ,Peoria,IL,61615,309-969-0426,https://www.maloofrealty.com/,228,True,False,True,True,True,True,False,True,True,False,True,False,False
Deasy Penner Podley,Deasy Penner Podley,1416826, ,Pasadena,CA,91101,,,416,True,False,True,True,True,False,False,True,True,True,True,False,False
Windermere Solutions LLC,Windermere,1234567,815 Western Ave ,Seattle,WA,98104,,,494955,True,True,True,True,True,True,False,True,True,True,True,False,False
Lyon Real Estate,Lyon Real Estate,1490992, ,Sacramento,CA,,,,917,False,False,False,True,False,False,False,True,False,False,False,False,False
Fonville Morisey Realty a Long & Foster ,Fonville Morisey Realty,3057157, ,Raleigh,NC,,,,747,False,False,True,True,True,True,False,True,True,True,True,False,False
Crye-Leike Real Estate Services,Crye-Leike,3140002, ,Brentwood,TN,,,,3223,False,False,True,True,False,False,False,False,False,False,False,False,False
Chase International,Chase International,3091873, ,Lake Tahoe,NV,,,,348,False,False,False,True,False,False,False,True,True,True,True,False,False
Sereno Group,Sereno Group,3199966,214 Los Gatos-Saratoga Road ,Los Gatos,CA,95030,408-833-5140,www.serenogroup.com,434,True,False,True,True,False,False,False,True,True,True,True,True,False
Better Homes and Gardens Real Estate Ran,Better Homes and Gardens Real Estate Ran,3076093, ,Nanuet,NY,,,,1765,True,False,True,True,True,False,False,True,True,False,True,False,False
Realty ONE Group,Realty ONE Group,1732426, ,Irvine,CA,,,,11638,False,False,True,True,True,True,False,True,True,True,True,False,False
Keller Williams Realty Danville and Waln,Keller Williams Realty,3189709,760 Camino Ramon #200 ,Danville,CA,94526,925-585-5833,http://www.kwdanville.com,701,False,False,False,True,False,False,False,True,False,False,False,False,False
C21 Scheetz Realty,Century 21 Scheetz,3230737, ,,,,,,391,True,False,True,True,True,False,True,True,True,True,True,True,True
Weidel Real Estate,Weidel Real Estate,2918293, ,Pennington,NJ,,,,645,True,False,True,True,True,True,False,True,True,False,True,False,False
